local_time,date_local,hour_local,weekday_local
2016-01-04 20:09:00+02:00,2016-01-04,20,Monday
2016-03-30 11:04:00+02:00,2016-03-30,11,Wednesday
2016-03-30 19:01:00+02:00,2016-03-30,19,Wednesday
2016-03-25 17:23:00+02:00,2016-03-25,17,Friday
2016-02-02 19:18:00+02:00,2016-02-02,19,Tuesday
2016-03-18 18:56:00+02:00,2016-03-18,18,Friday
2016-03-20 06:25:00+02:00,2016-03-20,6,Sunday
2016-02-03 08:43:00+02:00,2016-02-03,8,Wednesday
2016-03-31 12:01:00+02:00,2016-03-31,12,Thursday
2016-01-09 10:25:00+02:00,2016-01-09,10,Saturday
2016-03-24 11:09:00+02:00,2016-03-24,11,Thursday
2016-03-26 17:33:00+02:00,2016-03-26,17,Saturday
2016-02-28 10:09:00+02:00,2016-02-28,10,Sunday
2016-02-15 10:40:00+02:00,2016-02-15,10,Monday
2016-01-09 17:40:00+02:00,2016-01-09,17,Saturday
2016-02-05 15:47:00+02:00,2016-02-05,15,Friday
2016-02-20 07:34:00+02:00,2016-02-20,7,Saturday
2016-02-21 15:45:00+02:00,2016-02-21,15,Sunday
2016-02-19 13:03:00+02:00,2016-02-19,13,Friday
2016-02-19 22:15:00+02:00,2016-02-19,22,Friday
2016-03-01 05:17:00+02:00,2016-03-01,5,Tuesday
2016-02-27 20:13:00+02:00,2016-02-27,20,Saturday
2016-02-28 22:20:00+02:00,2016-02-28,22,Sunday
2016-03-31 01:52:00+02:00,2016-03-31,1,Thursday
2016-03-30 21:13:00+02:00,2016-03-30,21,Wednesday
2016-03-09 10:51:00+02:00,2016-03-09,10,Wednesday
2016-03-29 04:23:00+02:00,2016-03-29,4,Tuesday
2016-03-02 08:01:00+02:00,2016-03-02,8,Wednesday
2016-03-06 17:58:00+02:00,2016-03-06,17,Sunday
2016-02-25 21:48:00+02:00,2016-02-25,21,Thursday
